"transaction_id","trans_group_en","property_usage_en","procedure_name_en","instance_date","area_id","area_name_en","procedure_area","actual_worth","meter_sale_price"
"1-11-2023-27213","Sales","Commercial","Sell","28-08-2023",350,"Al Thanyah Fifth",126.82,307100.0,2421.54
"1-11-2023-30859","Sales","Commercial","Sell","26-09-2023",350,"Al Thanyah Fifth",116.87,1035000.0,8855.99
"1-11-2023-13710","Sales","Commercial","Sell","16-05-2023",441,"Al Barsha South Fourth",1827.0,16000000.0,8757.53
"1-11-2023-34790","Sales","Commercial","Sell","30-10-2023",526,"Business Bay",145.58,2490333.0,17106.29
"1-11-2023-11466","Sales","Commercial","Sell","24-04-2023",443,"Al Thanyah First",100.35,899530.0,8963.93
"1-11-2023-23412","Sales","Commercial","Sell","25-07-2023",350,"Al Thanyah Fifth",503.72,5500000.0,10918.76
"1-11-2023-693","Sales","Commercial","Sell","09-01-2023",267,"Al Raffa",246.19,3700000.0,15029.04
"1-11-2023-9686","Sales","Commercial","Sell","03-04-2023",485,"Me'Aisem First",950.7,13400000.0,14094.88
"1-11-2023-25752","Sales","Commercial","Sell","16-08-2023",443,"Al Thanyah First",102.38,991809.0,9687.53
"1-11-2023-6299","Sales","Commercial","Sell","06-03-2023",485,"Me'Aisem First",796.79,6600000.0,8283.24
"1-11-2023-36756","Sales","Commercial","Sell","13-11-2023",350,"Al Thanyah Fifth",226.44,2000000.0,8832.36
"1-11-2023-27571","Sales","Commercial","Sell","31-08-2023",526,"Business Bay",54.64,710000.0,12994.14
"1-11-2023-8845","Sales","Commercial","Sell","27-03-2023",526,"Business Bay",44.89,1715399.0,38213.4
"1-11-2023-41032","Sales","Commercial","Sell","12-12-2023",350,"Al Thanyah Fifth",699.97,5375000.0,7678.9
"1-11-2023-14743","Sales","Commercial","Sell","17-05-2023",269,"Al Hamriya",2479.67,71500000.0,28834.48
"1-11-2023-24321","Sales","Commercial","Sell","01-08-2023",352,"Al Thanayah Fourth",608.61,6375000.0,10474.69
"1-11-2023-8766","Sales","Commercial","Sell","27-03-2023",352,"Al Thanayah Fourth",2798.87,70000000.0,25010.09
"1-11-2023-32967","Sales","Commercial","Sell","13-10-2023",350,"Al Thanyah Fifth",866.29,5800000.0,6695.22
"1-11-2023-20821","Sales","Commercial","Sell","04-07-2023",526,"Business Bay",244.18,3416829.0,13993.07
"1-11-2023-17034","Sales","Commercial","Sell","02-06-2023",441,"Al Barsha South Fourth",2255.63,21414372.0,9493.74
"1-11-2023-353","Sales","Commercial","Sell","04-01-2023",443,"Al Thanyah First",153.57,1300000.0,8465.2
"1-11-2023-6684","Sales","Commercial","Sell","08-03-2023",526,"Business Bay",113.99,1250000.0,10965.87
"1-11-2023-33913","Sales","Commercial","Sell","20-10-2023",410,"Palm Jumeirah",56.33,233400.0,4143.44
"1-11-2023-16194","Sales","Commercial","Sell","29-05-2023",350,"Al Thanyah Fifth",157.39,1016478.0,6458.34
"1-11-2023-21336","Sales","Commercial","Sell","06-07-2023",526,"Business Bay",92.77,1612100.0,17377.38
"1-11-2023-35519","Sales","Commercial","Sell","02-11-2023",526,"Business Bay",92.77,989647.0,10667.75
"1-11-2023-9538","Sales","Commercial","Sell","31-03-2023",526,"Business Bay",87.42,752784.0,8611.12
"1-11-2023-26091","Sales","Commercial","Sell","17-08-2023",435,"Al Hebiah Fourth",247.0,3500000.0,14170.04
"1-11-2023-34179","Sales","Commercial","Sell","25-10-2023",444,"Al Hebiah First",164.11,980130.0,5972.4
"1-11-2023-42911","Sales","Commercial","Sell","25-12-2023",350,"Al Thanyah Fifth",72.8,480000.0,6593.41
"1-11-2023-11770","Sales","Commercial","Sell","19-04-2023",410,"Palm Jumeirah",62.9,260700.0,4144.67
"1-11-2023-22368","Sales","Commercial","Sell","14-07-2023",526,"Business Bay",34.94,270000.0,7727.53
"1-11-2023-18131","Sales","Commercial","Sell","12-06-2023",485,"Me'Aisem First",828.0,9500000.0,11473.43
"1-11-2023-3716","Sales","Commercial","Sell","09-02-2023",350,"Al Thanyah Fifth",510.0,3019274.0,5920.15
"1-11-2023-16737","Sales","Commercial","Sell","31-05-2023",526,"Business Bay",146.14,1890000.0,12932.8
"1-11-2023-1494","Sales","Commercial","Sell","18-01-2023",350,"Al Thanyah Fifth",611.15,4100000.0,6708.66
"1-11-2023-15170","Sales","Commercial","Sell","22-05-2023",350,"Al Thanyah Fifth",125.98,1369817.0,10873.29
"1-11-2023-21491","Sales","Commercial","Sell","10-07-2023",352,"Al Thanayah Fourth",595.14,7300000.0,12266.02
"1-11-2023-26552","Sales","Commercial","Sell","22-08-2023",350,"Al Thanyah Fifth",110.96,895770.0,8072.91
"1-11-2023-2693","Sales","Commercial","Sell","30-01-2023",350,"Al Thanyah Fifth",75.99,2535645.0,33368.14
"1-11-2023-38393","Sales","Commercial","Sell","23-11-2023",350,"Al Thanyah Fifth",102.35,765000.0,7474.35
"1-11-2023-38865","Sales","Commercial","Sell","27-11-2023",343,"Al Warsan First",154.0,1600000.0,10389.61
"1-11-2023-42","Sales","Commercial","Sell","02-01-2023",410,"Palm Jumeirah",622.44,24750000.0,39762.87
"1-11-2023-41488","Sales","Commercial","Sell","18-12-2023",526,"Business Bay",80.36,1080000.0,13439.52
"1-11-2023-10680","Sales","Commercial","Sell","11-04-2023",350,"Al Thanyah Fifth",546.7,4550000.0,8322.66
"1-11-2023-23574","Sales","Commercial","Sell","31-07-2023",267,"Al Raffa",933.02,27963371.0,29970.82
"1-11-2023-15506","Sales","Commercial","Sell","22-05-2023",350,"Al Thanyah Fifth",64.63,450000.0,6962.71
"1-11-2023-43053","Sales","Commercial","Sell","26-12-2023",350,"Al Thanyah Fifth",56.49,760000.0,13453.71
"1-11-2023-42066","Sales","Commercial","Sell","19-12-2023",266,"Al Satwa",1415.35,17139285.0,12109.57
"1-11-2023-17239","Sales","Commercial","Sell","05-06-2023",410,"Palm Jumeirah",621.92,29000000.0,46629.79
"1-11-2023-32323","Sales","Commercial","Sell","09-10-2023",526,"Business Bay",45.76,670000.0,14641.61
"1-11-2023-25239","Sales","Commercial","Sell","10-08-2023",526,"Business Bay",40.85,500000.0,12239.9
"1-11-2023-24158","Sales","Commercial","Sell","01-08-2023",485,"Me'Aisem First",706.75,10200000.0,14432.26
"1-11-2023-1310","Sales","Commercial","Sell","17-01-2023",343,"Al Warsan First",59.0,399147.0,6765.21
"1-11-2023-17974","Sales","Commercial","Sell","08-06-2023",526,"Business Bay",286.31,7242277.0,25295.23
"1-11-2023-16348","Sales","Commercial","Sell","29-05-2023",350,"Al Thanyah Fifth",67.54,1381300.0,20451.58
"1-11-2023-34845","Sales","Commercial","Sell","30-10-2023",350,"Al Thanyah Fifth",762.32,7200000.0,9444.85
